question,answer,answer_number,equation_solution
"Sasha nota che i prezzi per il legname sono aumentati del 50% negli ultimi mesi dopo aver acquistato un po 'di legname.Dato che ha gli avanzi, decide di venderli.Ha le restazioni a dieci schede 2 x 4 x 10 che le costano $ 10 ciascuna.Ha anche cinque tavole da 4 x 4 x 10 che ha acquistato per $ 16 ciascuno.Se li vende tutti, quanti profitti fa?",,90,
"Katy prepara il caffè usando cucchiaini di zucchero e tazze d'acqua nel rapporto di 7:13.Se ha usato un totale di 120 cucchiaini di zucchero e tazze d'acqua, calcola il numero di cucchiaini di zucchero che ha usato.",,42,
John acquista 2 paia di scarpe per ciascuno dei suoi 3 figli.Costano $ 60 ciascuno.Quanto ha pagato?,,360,
"Un ufficiale doganale nel porto principale delle autorizzazioni sul mare contava 2 contenitori di veicoli importati, ciascuno con 5 veicoli all'interno.Il giorno successivo, furono introdotti più contenitori e il numero totale di veicoli nel porto divenne 30. Calcola il numero di contenitori che venivano importati nel secondo giorno, supponendo che tutti i contenitori contengano 5 veicoli.",,4,
"Lo stipendio totale di Adrien era superiore del 30 percento rispetto a quello di Lylah.Quattro anni dopo, il suo stipendio era aumentato e stava guadagnando il 40% in più rispetto a quello che stava facendo quattro anni fa.Se lo stipendio di Adrien e Lylah aumentava contemporaneamente e Adrien ha guadagnato $ 40000 quattro anni fa, calcola lo stipendio totale che i due stavano ricevendo quattro anni dopo?",,95200,
"Miguel usa 2 cuscinetti di carta a settimana per il suo disegno.Se ci sono 30 fogli di carta su un cuscinetto di carta, quanti fogli di carta usano ogni mese?",,240,
"A Morisette e Kael è stato chiesto di portare frutti.Morisette ha portato 5 mele e 8 arance, mentre Kael ha portato il doppio della quantità di mele e metà del numero di arance rispetto a Morisette.Quanti frutti hanno in totale?",,27,
"Sadie ha dormito 8 ore lunedì.Per i due giorni successivi, ha dormito 2 ore in meno, ciascuno, perché ha dovuto completare alcuni incarichi.Se il resto della settimana ha dormito 1 ora in più di quei due giorni, quante ore ha dormito in totale per tutta la settimana?",,48,
"Rosie può correre 10 miglia all'ora per 3 ore.Dopodiché, corre 5 miglia all'ora.Quante miglia può correre in 7 ore?",,50,
"Jennie sta aiutando nell'ufficio di sua madre.Ha una pila di 60 lettere che necessitano di francobolli e un mucchio di lettere già stampato.Mette i francobolli su un terzo delle lettere che necessitano di francobolli.Se ora ci sono 30 lettere nella pila di lettere già stamparie, quante erano in quella pila quando ha iniziato Jennie?",,10,
"Julia si stava preparando per una cena a casa sua, dove intendeva servire lo stufato.Ha notato che era senza cucchiai di plastica, quindi ha acquistato un nuovo pacchetto di cucchiai.Più tardi, suo marito acquistò anche un pacchetto di 5 nuovi cucchiai e li diede a Julia.Mentre Julia stava facendo lo stufato, ha usato tre dei cucchiai per assaggiare il suo stufato.Più tardi, quando andò a fissare il tavolo, aveva un totale di 12 cucchiai.Quanti cucchiai erano nel pacchetto acquistato da Julia?",,10,
Dylan aveva bisogno di salsicce di pollo e salsicce di pesce per preparare panini da salsiccia a una festa.Ha comprato 38 salsicce di pollo e altre 6 salsicce di pesce rispetto alle salsicce di pollo.Quante salsicce ha acquistato Dylan in tutto?,,82,
"Dopo essersi trasferito in una nuova scuola, Amy ha fatto più di 20 amici di Lily.Se Lily ha stretto 50 amici, quanti amici hanno Lily e Amy insieme?",,120,
"La madre di Well vende angurie, peperoni e arance nel negozio locale.Un'anguria costa tre volte ciò che ogni pepe costa.Un'arancia costa 5 in meno di quanto costa un'anguria.Dillon viene inviato al negozio per acquistare 4 angurie, 20 peperoni e 10 arance.Qual è la quantità totale di denaro che spenderà se ogni pepe costa 15 $?",,880,
Un ospedale vede 500 persone al giorno.Ogni paziente è visto per una media di 24 minuti.I medici addebitano $ 150 l'ora in ospedale e l'ospedale addebita i pazienti $ 200 l'ora.Quanto profitto fa l'ospedale da queste visite?,,10000,
"Nissa assume 60 lavoratori stagionali per giocare a elfi nel Santa Village del suo grande magazzino.Un terzo degli Elfi si è lasciato dopo che i bambini vomitano su di loro, quindi 10 degli Elfi rimanenti si sono lasciati dopo che i bambini hanno preso a calci i loro stinchi.Quanti elfi sono rimasti?",,30,
"La spesa di Giuseppe a maggio è stata di $ 500.A giugno, le sue spese erano di $ 60 in meno.Quanto sono state le sue spese totali per quei due mesi?",,940,
"Pam e Fred andarono in un carnevale.Pam ha guidato le montagne russe 2 volte mentre Fred l'ha cavalcata 4 volte.Successivamente, ognuno di loro ha deciso di cavalcare il Luge 2 volte.Se ogni corsa costava 6 biglietti, quanti biglietti usavano quel giorno?",,60,
Lunedì Walt ha camminato per 4 miglia.Martedì ha camminato 6 volte più miglia che ha camminato lunedì.Il suo chilometraggio totale dal lunedì al mercoledì è stato di 41 miglia.Quante miglia ha camminato mercoledì?,,13,
Tom riceve 4 lavaggi da auto al mese.Se ogni autolavaggio costa $ 15 quanto paga in un anno?,,720,
"L'amico di Brian Bobby ha 5 in meno di 3 volte più videogiochi di Brian.Se Brian ha 20 videogiochi ma ha perso 5 proprio prima che venisse fatto il confronto, quanti hanno Bobby?",,40,
Sono rimasti 27 unicorni nel mondo.Un terzo di loro è negli altopiani scozzesi.Due terzi degli unicorni scozzesi sono donne.Quante donne scozzesi ci sono?,,6,
"Rory ordini 2 sottotitoli per $ 7,50 ciascuno, 2 sacchi di patatine per $ 1,50 ciascuno e 2 cookie per $ 1,00 ciascuno per la consegna.C'è una tassa di consegna del 20% aggiunta al check -out e vuole aggiungere un suggerimento di $ 5,00.Quanto costerà il suo ordine di consegna?",,29,
"Mark ha fatto un test ieri che consisteva in 75 domande.Ha completato il test a una tariffa di 5 domande all'ora.Oggi ha fatto un'altra prova di 100 domande allo stesso ritmo.Se Mark ha avuto 8 ore per completare il primo test e 6 ore per completare il secondo, quante domande ha lasciato incompleto?",,105,
"In una macchina per caramelle, ci sono 22 più di quattro volte il numero di gumball rosa in quanto ci sono gumball blu.Se ci sono 12 gumball blu quanti rosa ci sono?",,70,
"Delle 20 auto disponibili in affitto, 12 sono auto automatiche, 4 sono auto manuali e il resto è semiautomatico.Quale percentuale di auto è semiautomatica?",,20,
Ci sono 700 api in un alveare.Ci sono il doppio delle api operative delle api da bambino e ci sono il doppio dei bambini delle regine.Quante api lavoratrici ci sono?,,400,
La Giordania gioca ai videogiochi per 2 ore al giorno.Ha anche un lavoro part-time in cui guadagna $ 10 l'ora.Quanti soldi guadagnerebbe Jordan in una settimana se invece avesse trascorso il suo tempo a lavorare?,,140,
"John acquista latte per 2 dollari, uova per 3 dollari, lampadine per 3 dollari, tazze per 3 dollari e trappole di scarafaggi per 4 dollari.Se c'è un'imposta del 10% su tutti gli articoli non alimentari quanto è costato tutto.",,16,
"Kim ha iniziato la propria attività di pulizia e sta calcolando quanto profitto realizzerà dai suoi clienti.Ha già 3 clienti, ma sta parlando con altri 5 potenziali clienti e si sente abbastanza sicuro da includerli nei suoi calcoli.La casa di ogni cliente avrà bisogno di 2 bottiglie di candeggina e un pacchetto di panni da pulire.Le bottiglie di candeggina costeranno $ 2 ciascuna e i pacchetti di panni costeranno $ 5 ciascuno.Queste sono le sue uniche spese.Calcola che il suo reddito totale ogni settimana sarà di $ 92.Il profitto è la differenza tra il reddito totale e le spese totali, quindi quanti profitti, in dollari, farà Lucas ogni settimana?",,20,
John ha 10 ettari di un campo di ananas.Ci sono 100 ananas per ettaro.John può raccogliere i suoi ananas ogni 3 mesi.Quanti ananas possono raccogliere John entro un anno?,,4000,
Johnny sta raccogliendo i giocattoli sul pavimento della sua stanza.Aveva scaricato un set in scatola Lego con 500 pezzi sul pavimento e un altro che aveva 3 volte più pezzi di quello da 500 pezzi e un altro che aveva 1/4 del numero di pezzi.Quanti blocchi raccoglie Johnny se raccoglie tutti i Lego?,,2125,
"Debra sta monitorando un alveare per vedere quante api vanno e vengono in un giorno.Vede 30 api lasciare l'alveare nelle prime 6 ore, e poi vede 1/2 che molte api tornano nelle prossime 6 ore.Vede due volte più api che ha visto per primo lasciare l'alveare volare dall'alveare e partire nelle successive 6 ore.Quindi ogni api che era rimasta prima non era già tornata, ritorna all'alveare nelle successive 6 ore.Quante api ha visto Debra di tornare all'alveare nelle ultime 6 ore del giorno?",,75,
"Brittany e sua madre vanno al museo.Il costo dell'ammissione è di $ 12 per gli adulti e $ 10 per i bambini.La mamma di Brittany dà denaro alla cassa per 1 biglietto per bambini e 1 biglietto per adulti.Se ha ricevuto $ 8 in modifica, quanti soldi, in dollari, ha dato alla cassa?",,30,
"Charlie ha tre volte più amici di Facebook di Dorothy.James ha quattro volte più amici su Facebook di Dorothy.Se Charlie ha 12 amici su Facebook, quanti amici di Facebook hanno James?",,16,
"Steve e Tim decidono di vedere chi può tornare a casa dal più veloce.Steve vive più lontano di Tim, quindi gli è permesso andare in bici.Steve vive a 3 miglia dalla scuola e può andare in bicicletta a 440 piedi al minuto.Tim vive a 2 miglia di distanza dalla scuola.Se Tim può cavalcare il suo skateboard a 264 piedi al minuto, per quanto tempo il vincitore aspetterà a casa loro prima che il perdente finisca la gara?",,4,
"Shawnda decide che i suoi bambini del quartiere potrebbero davvero usare un servizio di inflazione in bicicletta.Decide che il modo migliore per caricare è dal pneumatico.Ogni pneumatico costa 25 centesimi per gonfiare.Il primo giorno, 5 persone in bicicletta sono arrivate per gonfiare entrambe le gomme.3 persone sono venute per gonfiare tutte le loro gomme per triciclo.Alla fine, una persona in realtà è arrivata su un monociclo.Quanti dollari ha guadagnato quel giorno?",,5,
"Carl acquista dieci pacchetti di biscotti.Ogni pacchetto di biscotti ha sei biscotti all'interno.Ogni cookie costa $ 0,10.Quanta modifica riceve Carl se paga con una fattura da $ 10?",,4,
"Dave acquistò un grosso branco di patatine francese e mangiava quattordici prima che un gabbiano affamato gli stesse fuori di mano.Quando il gabbiano sbarcò, inghiottì la metà della quantità di patatine fritte che Dave mangiava.Quindi tre piccioni lo hanno bullismo lontano dal cibo e ogni piccione mangiava tre patatine.Più tardi, un procione ha rubato due terzi delle patatine rimanenti.Le formiche hanno portato via un ultimo patto francese, lasciandoti cinque alle spalle.Quante patatine fritte erano nel branco quando Dave l'ha acquistata?",,48,
"Il lunedì, il mercoledì e il venerdì, lo studente universitario Kimo ha tre lezioni di 1 ora ogni giorno.Il martedì e il giovedì, ha due lezioni di 2 ore ogni giorno.In un semestre ci sono 16 settimane di scuola.In un semestre, quante ore spende Kimo frequentando le lezioni?",,272,
"Bill Bakes 300 involtini, 120 cornetti al cioccolato e 60 baguette ogni giorno.Ogni rotolo è lungo 4 pollici, ogni croissant è lungo 6 pollici e ogni baguette è lunga due piedi.Se Bill mette tutti i prodotti da forno da un capo all'altro, quanto tempo saranno in piedi?",,280,
"Lo Zookeeper nutre tutte le scimmie nello zoo.Ordina tutte le banane da una fattoria locale ogni 2 mesi.Se le scimmie hanno bisogno di 200 banane, i gorilla hanno bisogno di 400 banane e i babbuini hanno bisogno di 100 banane ogni mese, quante banane ha bisogno per durare per 2 mesi?",,1400,
"Blake e Kelly stanno organizzando un concorso per vedere chi può correre di più in 15 minuti.Decidono di farlo su un campo di calcio lungo 100 iarde.Blake corre avanti e indietro 15 volte.Kelly corre avanti e indietro una volta, quindi decide che non vuole correre accanto a Blake, quindi inizia a correre sulla linea di 40 yard e ritorno.Lo fa 34 volte.Quanto più lontano è il vincitore che il perdente?",,80,
"Raphael andò a comprare alcune materie prime scolastiche.Ha acquistato 4 penne che costano $ 1,5 ciascuna, 2 notebook che costano $ 4 ciascuno e un bordo di carta obbligazionaria che costa $ 20.Quanto ha speso Raphael per tutto?",,34,
"Finn guarda 11 girini che nuotano nello stagno.All'improvviso vede 6 di loro uscire dal nascondiglio da sotto un giglio, poi vede 2 di loro nascondersi sotto una roccia.Quanti girini ora può vedere Finn nello stagno?",,15,
"Un serbatoio d'acqua ha una profondità di 17 piedi lunedì.Martedì, il carro armato aveva 7 piedi in più acqua.Mercoledì, la profondità dell'acqua è di due terzi di quello che era martedì.Qual è la profondità dell'acqua del serbatoio mercoledì?",,16,
"Anakin e Locsin sono andati in spiaggia oggi.Anakin ha catturato 10 stelle marine, 6 cavalli marini e 3 pesci pagliaccio.Mentre Locsin ha catturato 5 stelle marine in meno rispetto a Anakin, 3 meno cavalli marini di Anakin e 2 più pesci pagliaccio di Anakin.Quanti pesci sono stati in grado di catturare?",,32,
"Se una borsa di marmi costa $ 20 e il prezzo aumenta del 20% del prezzo originale ogni due mesi, quanto sarebbe costato un sacco di marmi dopo 36 mesi?",,92,
"In una stanza, ci sono vari giocattoli: 5 auto rosse, 3 figure e una bambola.La bambola è costata fino a 3 cifre d'azione e un'auto rossa è costata $ 4.Quanto valgono tutti i giocattoli, di un action cifra costa $ 5?",,50,
"Jackie sta cercando di decidere se fare le tasse da sola o assumere un contabile.Se si fa le tasse da sola, sarà in grado di fare 3 ore in meno di lavoro freelance, perdendo $ 35/ora in entrate perse.Il contabile addebita $ 90.Quanti soldi avrà se assume il contabile?",,15,
"Per il suo trentesimo compleanno, Elvira ha scelto un nuovo computer con molti accessori come regalo.Ha un budget di € 1500 donato da tutta la sua famiglia e pensa che sarà in grado di mantenere un po 'di soldi per permettersi un capo.Va in un negozio di computer e sceglie una macchina che costa € 1090 con una schermata, una tastiera e un mouse.Prende anche uno scanner per € 157, un bruciatore CD del valore di € 74 e una stampante per € 102.Quanti soldi rimarrà per i suoi vestiti?",,77,
"La vicina di Sandra le dà un cesto di 9 uova ogni volta che fa da babysitter a figlia.Per fare un flan spagnolo, ha bisogno di 3 uova.Se Sandra è stato incaricato di creare 15 fiani spagnoli per la sua raccolta fondi scolastica, quante volte Sandra deve fare da babysitter?",,5,
"Seth è il doppio di Brooke.Tra 2 anni, la somma della loro età avrà 28. Quanti anni ha Seth?",,16,
"Jimmy ha $ 2 in più del doppio del denaro che Ethel ha.Se Ethal ha $ 8, quanti soldi ha Jimmy?",,18,
Pancho cammina 20 miglia al giorno.Tranne nei fine settimana quando cammina per 10 miglia.Quante miglia cammina in una settimana?,,120,
"La banda musicale sta ordinando nuove uniformi.Ogni uniforme viene fornita con un cappello che costa $ 25, una giacca che costa tre volte più del cappello e pantaloni che costano la media dei costi del cappello e della giacca.Quanto costa in totale ogni uniforme?",,150,
"Jake sta camminando attraverso il Museo di Entomologia.Vede 80 ragni con 8 gambe ciascuno, 90 insetti con 6 gambe ciascuno e 3 rari invertebrati mutanti con 10 gambe ciascuno.Quante gambe vede Jake totale?",,1210,
"Ci sono quattro uccelli al Caboose.Sally due hanno tre anni più di Granny Red.La Granny Red è due volte vecchia come Sally Four.Se Sally Four ha la stessa età di Sally Thirtytwo e Sally Thirtytwo ha 8 anni, qual è l'età totale dei quattro uccelli?",,51,
"Jessica sta cercando di capire quanto pagare su tutti i suoi debiti ogni mese.I suoi prestiti studenteschi hanno un pagamento minimo di $ 300/mese, il minimo della carta di credito è di $ 200/mese e il minimo del suo mutuo è di $ 500/mese.Se Jessica vuole pagare il 50% in più rispetto al minimo, quanto paga in un anno?",,18000,
"Billy sta sbucciando e tagliando le patate in preparazione per preparare insalata di patate per la sua grande barbecue di riunione di famiglia.È un grande evento, quindi ha 60 patate da superare.Le patate hanno all'incirca le stesse dimensioni, quindi ci vuole circa lo stesso tempo per sbucciare e tagliare ciascuna.Billy ci vuole circa un minuto e mezzo per sbucciare una patata, ma solo circa 5 secondi per tagliarla.Quanto tempo ci vorrà Billy per finire di preparare le patate?",,95,
"Juan e suo fratello Carlos stanno vendendo limonata.Per ogni gallone costano $ 3 per i limoni e $ 2 per lo zucchero.Vendono ogni bicchiere per $ 0,50 e ottengono 20 bicchieri per gallone.Se hanno guadagnato $ 25 in profitto, quanto hanno speso per i limoni?",,15,
"In una gara con 240 asiatici, 80 erano giapponesi e il resto era cinese.Se il numero di ragazzi nella squadra cinese aveva 60 anni, quante ragazze erano nella squadra cinese?",,100,
"Zaid spende 1/4 del suo stipendio in affitto, 1/3 di carburante per auto e dona metà della quantità rimanente alla sua organizzazione benefica preferita.Dà a sua figlia 200 $ da utilizzare per le sue spese settimanali e 700 $ a sua moglie per il budget per la spesa e altri beni per la casa.Se Zaid guadagna 6000 $ al mese, quanti soldi avrà ancora dopo tutte queste spese e donazioni?",,350,
"Rani ha dieci granchi in più di Monic, che ha 4 granchi in meno di Bo.Se Bo ha 40 granchi, calcola il numero totale di granchi che i tre hanno insieme.",,122,
Lloyd guadagna $ 10 l'ora con il tutoraggio matematico.Ha istruito 5 ore per la prima settimana e 8 ore per la seconda settimana.Quanto ha guadagnato per le prime due settimane?,,130,
"Due candidati sono candidati per il rappresentante di classe nella scuola di Sarai.Se il vincitore ha ottenuto 3/4 dei voti e il numero totale di studenti che hanno votato in classe era 80, calcola il numero di voti che il perdente ha ottenuto.",,20,
"Sandra, il fiorista dietro l'angolo, è molto infelice della consegna di ordini incompleti di Fred.Sandra aveva ordinato quattro volte più rose rosse delle garofani bianchi.Ha anche ordinato 200 Calla Pink Calla, che erano cinque volte il numero di garofani bianchi.Sandra ha minacciato di cambiare fornitori se le rose rosse mancanti non vengono consegnate entro le 17:00.Per mantenere l'attività di Sandra, quanti rose rosse devono offrire Fred entro le 17:00?",,160,
Jean ha due anni più di Mark.Due anni fa Mark aveva 5 anni più di mezza età.Se il 30 gennaio ha quanti anni ha Jean?,,23,
"Due squadre di binari sono in competizione l'una contro l'altra in un relè da 4 per 400 metri;Una gara in cui ogni squadra in competizione ha quattro membri che gestiscono ciascuno 400 metri o un giro, attorno a una pista standard.Una delle due squadre è molto a tutto tondo e ciascuno dei loro membri eseguirà la loro gamba di 400 metri in precisione in 55 secondi.L'altra squadra è meno a tutto tondo;Il loro primo corridore eseguirà la loro gamba di 400 metri in 60 secondi, quindi ogni corridore successivo sarà di 3 secondi più veloce del precedente corridore.Usando queste informazioni, quanti secondi vincerà la squadra più veloce?",,2,
Jerry sta rotolando un dado a sei lati.Quanto più è probabile (espresso in percentuale) che rotola un numero maggiore di 3 di quello che lancia due numeri pari di fila?,,25,
"Jenna e sua madre hanno scelto alcune mele dalla loro fattoria di mele.Jenna ha scelto la metà delle mele di sua madre.Se sua madre ha ottenuto 20 mele, quante mele hanno scelto entrambi?",,30,
"Russell lavora in un negozio di animali e sta distribuendo la paglia tra i roditori.I ratti sono mantenuti in 3 gabbie in gruppi uguali e ogni ratto viene somministrato 6 pezzi di paglia.Ci sono 10 gabbie di criceti che sono mantenuti da soli e ogni criceto vengono assegnati 5 pezzi di paglia.C'è anche una penna di conigli in cui sono distribuiti 20 pezzi di paglia tra i conigli.Nessuna cannuccia viene utilizzata altrove nel negozio.Se sono stati distribuiti 160 pezzi di paglia tra i piccoli roditori, quanti ratti ci sono in ogni gabbia?",,5,
"Mandy deve Benedict $ 100.Hanno accettato di avere un interesse mensile del 2%.Se Mandy fosse in grado di pagarlo dopo 3 mesi, quanto dovrebbe dare a Benedict?",,106,
"Un commerciante acquista alcuni sacchi di grano da un agricoltore alla tariffa di $ 20 per sacchetto.Se costa $ 2 per trasportare ogni borsa dalla fattoria al magazzino e il commerciante ha realizzato un profitto totale di $ 400 dopo aver venduto tutte le borse a un tasso di $ 30 ciascuno, quante borse ha venduto?",,50,
"Tre amici hanno speso $ 20,25 in 3 biglietti per la fiera.Hanno anche speso $ 4,50 in meno per il cibo che sui biglietti.Hanno anche fatto 2 diverse corse che costa $ 33 per ogni giro.Se avessero accettato di dividere tutti i costi in modo uniforme, quanto pagava ciascuno di loro?",,34,
John raccoglie pesche per 3 ore.Può raccogliere 2 pesche al minuto.Quante pesche raccoglie?,,360,
"Le anatre devono mangiare 3,5 libbre di insetti ogni settimana per sopravvivere.Se c'è uno stormo di dieci anatre, quanti chili di insetti hanno bisogno al giorno?",,5,
Tom pianta 10 alberi all'anno.Ogni anno taglia anche 2 alberi all'anno.Comincia con 50 alberi.Dopo 10 anni il 30% degli alberi muore.Quanti alberi gli è rimasto?,,91,
"Sue vive in un quartiere divertente.Un fine settimana, i vicini hanno deciso di fare uno scherzo su Sue.Venerdì mattina, i vicini hanno piazzato 18 fenicotteri di plastica rosa sul cortile di Sue's.Sabato mattina, i vicini hanno ripreso un terzo dei fenicotteri, li hanno dipinti in bianco e hanno messo questi fenicotteri bianchi appena dipinti sul cortile di Sue's.Poi, domenica mattina, hanno aggiunto altri 18 fenicotteri di plastica rosa alla collezione.A mezzogiorno di domenica, quanti più fenicotteri di plastica rosa erano fuori rispetto ai fenicotteri di plastica bianchi?",,24,
Violetta vuole acquistare nuovi pastelli.Ne ha bisogno in 5 colori diversi e preparato $ 20 per questo acquisto.Un pastello costa $ 2.Quanto cambiamento riceverà?,,10,
"Una penna costa tanto quanto una matita e una gomma combinate.Una matita costa $ 1,20 e una gomma costa $ 0,30.Quanto costeranno 8 penne?",,12,
200 libbre di carote devono essere distribuite a 40 ristoranti in una certa città.Ogni ristorante deve ricevere 2 chili di carote.Quante chili di carote non verranno utilizzate?,,120,
"Nella città di Soda, ci sono esattamente 23786 abitanti.Includono 8417 uomini e 9092 donne.Il resto della popolazione è composto da bambini.Quanti bambini ci sono in soda?",,6277,
"Elaine inizialmente aveva 20 carte Pokemon.Dopo un mese, ha raccolto tre volte quel numero.Nel secondo mese, ha raccolto 20 carte in meno rispetto a quelle che ha raccolto nel primo mese.Nel terzo mese, ha raccolto il doppio del numero combinato di carte Pokemon che ha raccolto nel primo e nel secondo mese.Quante carte Pokemon ha ora in totale?",,320,
"Mark è un editor di copia.Modifica un numero uguale di frasi ogni settimana per due diversi editori, che ciascuno gli pagano un tasso diverso per frase.L'editore B paga il doppio di quello che l'editore A paga.Mark modifica un numero totale di 1000 frasi ogni settimana e l'editore A gli paga 5 centesimi per frase.Quanto fa Mark in una settimana, in centesimi?",,7500,
"Baldur prende acqua da un pozzo.Riceve 5 secchi d'acqua ogni mattina e 6 secchi d'acqua ogni pomeriggio.Se ogni secchio contiene 5 litri di acqua, quanti litri di acqua ottengono ogni giorno?",,55,
"John vince un premio al lavoro.Il premio ha un premio monetario in 1 volta di $ 5000 e un aumento del 5% di stipendio.Se guadagna 2000 a settimana, ogni settimana dell'anno e ha ottenuto il premio il primo giorno dell'anno quanti soldi ha fatto quell'anno?",,114200,
Josie cresce uva nella sua fattoria di 10 acri.Ogni acro produce 5 tonnellate di uva all'anno e ogni tonnellata di uva produce 2 barili di vino.Quanti barili di vino produce la sua fattoria all'anno?,,100,
Il cibo preferito di Carl è il formaggio.Ha mangiato un panino ogni giorno questa settimana per pranzo e ha usato 2 fette di formaggio su ogni panino.Ha mangiato omelette di formaggio e uova per colazione 3 giorni alla settimana usando una fetta in più per frittata di quanto non facesse per sandwich.Ha preparato un grande piatto di maccheroni e formaggio per durare diverse cene per la settimana e ha usato 8 fette di formaggio.Quante fette di formaggio ha usato?,,31,
Janet aveva 22 penne verdi e 10 penne gialle.Quindi ha comprato 6 sacchi di penne blu e 2 sacchi di penne rosse.C'erano 9 penne in ogni sacchetto di blu e 6 penne in ogni sacchetto di rosso.Quante penne ha Janet adesso?,,98,
"Brinley è nella lezione di matematica del signor Bert.Il signor Bert fa sei test ogni semestre.Permette agli studenti di rimuovere il punteggio più basso dalla media ogni semestre.Se Brinley ha punteggi di 89, 71, 92, 100 e 86 nei primi cinque test, di quale punteggio ha bisogno nel sesto test per ottenere una media di 93?",,98,
"Micheal adora andare in bicicletta.Lo cavalcava almeno 5 volte a settimana e produce 25 chilometri ogni volta.Lo ha fatto per quattro settimane, e poi ha deciso di andare in bici solo 2 volte a settimana, ma per 60 chilometri ogni volta, e lo ha fatto per 3 settimane.Quanti chilometri ha fatto Micheal in totale?",,860,
"La borsa di Joe di Candy Halloween ha 25 barrette di cioccolato e 80 mele candite.Ogni barretta di cioccolato pesa il doppio di ogni mela candita.Se ogni barretta di cioccolato pesa 40 g, quanto pesa la borsa di caramelle di Joe, in grammi?",,2600,
Rose è andato al negozio lunedì e ha acquistato 4 torte.Martedì è andato in un altro negozio e ha acquistato tre volte quel numero di torte.Mercoledì è andata in un altro negozio e ha acquistato 5 volte il numero di torte che ha fatto martedì.Quante torte ha comprato dopo tutti e tre i giorni?,,76,
Venti dozzine di tazze costano $ 1200 in meno del costo totale di una mezza dozzina di piastre vendute a $ 6000 ciascuna.Calcola il costo totale dell'acquisto di ogni tazza.,,145,
"Sara vuole comprare una nuova giacca e 2 paia di scarpe.La giacca che desidera costa $ 30 e ogni paio di scarpe costa $ 20.Sara fa da babysitter ai bambini del vicino 4 volte, guadagnando $ 5 ogni volta che li fa da babysitter.I suoi genitori le pagano $ 4 ogni volta che falcia il prato.Se Sara ha già risparmiato $ 10 prima di iniziare a fare da babysitter, quante volte deve falciare il prato prima che possa permettersi la giacca e le scarpe?",,10,
"Jerry ha uno stormo di polli.Le galline rosse producono 3 uova al giorno e le galline bianche producono 5 uova al giorno.Ogni giorno Jerry raccoglie 42 uova.Se ha più due polli bianchi che polli rossi, quante galline rosse ha?",,4,
"A Gary piace camminare intorno al bordo del parco locale, che è un rettangolo che misura 1,5 miglia per 6 miglia.Se cammina a 3 miglia/ora, quante ore trascorre a camminare?",,5,
"Mentre si trova al negozio di dollari, Sloane conta 100 clienti che entrano nel negozio.Il giorno successivo, conta 50 clienti in più rispetto al primo giorno.Se il numero totale di clienti entro il terzo giorno era 500, quanti clienti ha contato il terzo giorno?",,250,
"Jerry ha due piscine, entrambe con perdite che li svuotano a 4 galloni/minuto.4 minuti fa, la grande piscina aveva il doppio dell'acqua della piccola piscina.Ora la grande piscina ha quattro volte più acqua della piccola piscina.Quanta acqua ha la piccola piscina adesso?",,8,
"Lori vuole acquistare un paio di scarpe da $ 320,00 e una cintura abbinata che è di $ 32,00.Il suo lavoro part-time le paga $ 8,00 l'ora.Quante ore dovrà lavorare prima che possa fare il suo acquisto?",,44,
"Janeth ha preso in prestito $ 2000 e ha promesso di restituirlo con un ulteriore 10% dell'importo.Se pagherà $ 165 al mese per 12 mesi, quanto sarà il saldo rimanente di Janeth da allora?",,220,
Ci sono 4 rose nel vaso.Ce ne sono 7 più dahlia rispetto alle rose nel vaso.Quanti fiori ci sono nel vaso in totale?,,15,
L'età di Adrian ha tre volte l'età di Harriet e Harriet ha la metà dell'età di Zack.Calcola l'età media dei tre in tre anni se Harriet ha 21 anni.,,45,
Quattro studenti hanno segnato un totale di 251 punti in una partita di tavolo.Naomi ha segnato 68 dei punti.Yuri ha segnato 10 in più della metà di Naomi e Brianna hanno segnato 17 punti in più rispetto a Naomi.Quanti punti ha segnato Jojo?,,54,
Carmen ci vuole 10 minuti per finire un cruciverba e 5 minuti per finire un puzzle di Sudoku.Durante il fine settimana ha risolto 3 cruciverba e 8 puzzle di Sudoku.Quanto tempo ha trascorso a giocare a questi giochi?,,70,
Un serbatoio d'acqua è riempito con 120 litri di acqua.Celine ha usato 90 litri di acqua dal serbatoio per annaffiare il suo piccolo giardino.È stata quindi in grado di raccogliere acqua piovana che è il doppio di quanto rimasto.Quanti litri d'acqua ci sono nel serbatoio adesso?,,90,
Andy pianta 90 geranio e 40 petunie in meno che i gerani.Quanti fiori pianta totale?,,140,
"Una società spende $ 15000 in pubblicità per un anno, quindi spende un terzo di tale importo in pubblicità per un altro anno.Qual è l'importo totale che la società ha speso per la pubblicità per i due anni?",,20000,
"Carlos e Benji sono in spiaggia.Carlos affitta una canoa per $ 30 l'ora e Benji affitta una zattera per banana per $ 18 l'ora.Se Carlos usa la barca per 3 ore e Benji usa la zattera per 5 ore, quanto pagheranno per i loro noleggi, del tutto?",,180,
Andrew pianifica un viaggio dal New Jersey a Rochester.Ci vogliono 6 giorni per viaggiare in autobus e la metà dei giorni per viaggiare in auto dal New Jersey a Rochester.Quanti giorni viaggerà se ha intenzione di andare a Rochester in autobus e tornare da Rochester in auto?,,9,
